1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
1036,0.0,3.0,0,375,3,457,0.0,288,1,1949.0,1268,1,12144,60.0,0.0,28,7,5,832,0.0,1949,1950
864,0.0,2.0,0,468,3,396,0.0,0,1,1980.0,864,1,5604,67.0,0.0,0,6,5,864,0.0,1925,1950
1686,0.0,3.0,0,625,4,0,0.0,612,1,1980.0,1686,1,10240,79.0,157.0,131,6,6,1686,0.0,1980,1980
1620,0.0,3.0,0,1116,4,165,0.0,490,1,1993.0,1620,1,9991,69.0,0.0,78,4,4,1281,0.0,1976,1993
858,0.0,2.0,3,685,0,173,0.0,576,1,1983.0,858,1,7252,69.0,0.0,0,5,5,858,120.0,1982,1982
1301,0.0,2.0,0,0,2,1293,0.0,572,0,2006.0,1301,0,7200,60.0,0.0,121,5,7,1293,0.0,2006,2006
1505,0.0,2.0,0,1024,2,481,0.0,505,0,1953.0,1505,1,12160,128.0,90.0,0,4,6,1505,0.0,1953,1953
864,0.0,3.0,0,0,2,864,0.0,280,1,1972.0,864,1,9353,71.0,0.0,0,5,4,864,0.0,1970,1970
1224,0.0,2.0,3,1086,0,0,0.0,528,1,1979.0,1224,1,7018,64.0,275.0,0,5,5,1086,0.0,1979,1979
1383,0.0,3.0,2,1064,4,319,0.0,354,1,1954.0,1383,1,13284,69.0,0.0,116,5,5,1383,0.0,1954,1954
816,0.0,3.0,0,641,1,175,0.0,264,1,1982.0,816,0,6600,60.0,0.0,0,9,5,816,0.0,1982,2008
1344,0.0,3.0,1,1309,0,35,0.0,784,2,1997.0,1344,1,7060,78.0,200.0,0,5,7,1344,0.0,1997,1998
703,689.0,2.0,0,0,2,689,0.0,540,1,2007.0,1392,0,3604,34.0,0.0,102,5,7,689,0.0,2007,2007
1065,0.0,3.0,0,0,2,1065,0.0,461,1,1974.0,1065,1,8892,80.0,66.0,0,5,5,1065,0.0,1960,1960
661,589.0,3.0,0,0,2,661,0.0,552,1,1985.0,1250,1,5362,53.0,0.0,0,6,5,661,0.0,1910,2003
736,716.0,2.0,0,0,2,736,0.0,0,1,1980.0,1452,1,4456,33.0,0.0,0,5,4,736,0.0,1920,2008
572,524.0,2.0,0,0,2,572,0.0,0,1,1980.0,1096,1,9600,60.0,0.0,8,5,6,572,0.0,1924,1950
1428,0.0,3.0,0,0,2,1428,0.0,480,2,2007.0,1428,0,11639,95.0,0.0,120,5,7,1428,0.0,2007,2008
773,885.0,3.0,0,219,0,554,0.0,431,2,1995.0,1658,1,8000,69.0,0.0,84,5,6,773,0.0,1995,1996
864,0.0,3.0,0,398,1,317,0.0,720,0,1980.0,864,0,7200,60.0,0.0,0,8,5,864,0.0,1950,2002
948,980.0,5.0,2,0,2,686,0.0,0,1,1980.0,1928,1,7082,69.0,0.0,0,8,5,686,0.0,1916,1995
1537,0.0,3.0,0,0,2,1319,0.0,462,0,1962.0,1537,0,8400,80.0,237.0,36,9,6,1319,0.0,1962,2005
879,984.0,4.0,3,0,2,879,0.0,660,2,2006.0,1863,0,14054,58.0,0.0,17,5,7,879,0.0,2006,2006
1026,981.0,3.0,3,765,0,252,0.0,812,1,2008.0,2007,2,11003,85.0,160.0,52,5,10,1017,0.0,2008,2008
1792,0.0,2.0,1,1567,0,225,0.0,874,2,2003.0,1792,2,11846,72.0,562.0,49,5,9,1792,0.0,2003,2004
968,0.0,2.0,0,0,2,968,0.0,480,1,1935.0,968,1,8520,60.0,0.0,0,6,5,968,0.0,1923,2006
1512,1142.0,4.0,2,619,4,435,0.0,619,1,1968.0,2654,0,11029,69.0,220.0,65,7,6,1054,0.0,1968,1984
960,0.0,0.0,3,648,0,0,0.0,364,1,1965.0,960,1,10246,69.0,0.0,0,9,4,648,0.0,1965,2001
1521,0.0,3.0,0,0,2,1237,0.0,880,1,1988.0,2775,0,13500,75.0,0.0,502,9,10,1237,0.0,1893,2000
2069,574.0,3.0,3,0,2,2153,0.0,694,2,2006.0,2643,2,13693,105.0,772.0,84,5,9,2153,0.0,2006,2006
1646,0.0,2.0,1,1373,0,221,0.0,482,2,2004.0,1646,0,3842,44.0,174.0,53,5,8,1594,0.0,2004,2005
1298,0.0,3.0,0,1258,0,40,0.0,403,1,1985.0,1298,0,11200,69.0,85.0,26,5,6,1298,0.0,1985,1985
1694,0.0,3.0,3,0,2,1694,0.0,776,1,2008.0,1694,0,10475,64.0,72.0,33,5,8,1694,160.0,2008,2008
958,0.0,2.0,2,498,4,460,0.0,301,0,1960.0,958,1,12772,69.0,0.0,0,8,6,958,0.0,1960,1998
999,0.0,3.0,3,784,4,141,0.0,300,1,1962.0,999,1,10205,69.0,0.0,72,5,5,925,0.0,1962,1962
780,240.0,2.0,0,0,2,780,0.0,0,1,1980.0,1020,1,6342,54.0,0.0,0,8,5,780,0.0,1875,1996
814,860.0,3.0,0,533,0,281,0.0,663,0,2000.0,1674,0,7500,69.0,0.0,96,5,7,814,0.0,2000,2000
2113,0.0,2.0,1,1696,0,413,0.0,839,2,1995.0,2113,0,10437,91.0,660.0,46,6,8,2109,0.0,1995,1995
1118,912.0,4.0,0,156,5,692,0.0,551,2,1976.0,2030,0,12046,69.0,298.0,224,6,6,848,0.0,1976,1976
626,591.0,3.0,0,0,2,626,0.0,288,0,1980.0,1217,1,10762,75.0,0.0,28,6,6,626,0.0,1980,1980
1284,885.0,3.0,0,0,2,1284,0.0,647,0,2002.0,2169,0,9375,69.0,149.0,87,5,8,1284,0.0,2002,2002
979,871.0,3.0,0,595,0,378,0.0,467,2,1994.0,1850,0,29959,69.0,0.0,98,6,7,973,0.0,1994,1994
1144,0.0,3.0,0,25,4,247,0.0,336,1,1962.0,1144,1,9204,71.0,0.0,88,5,5,1144,0.0,1963,1963
1504,0.0,2.0,0,16,0,1330,0.0,437,2,2005.0,1504,0,3182,43.0,14.0,20,5,7,1346,0.0,2005,2006
1309,0.0,3.0,0,663,1,0,0.0,484,0,1974.0,1309,0,10140,78.0,99.0,0,6,6,1040,0.0,1974,1999
698,560.0,2.0,2,204,3,356,0.0,280,1,1939.0,1258,1,9060,60.0,0.0,0,5,6,560,0.0,1939,1950
1422,0.0,3.0,0,0,2,978,0.0,286,0,1960.0,1422,1,12342,69.0,0.0,0,5,5,978,0.0,1960,1978
1442,0.0,4.0,0,608,3,834,0.0,301,0,1958.0,1442,1,9750,75.0,243.0,0,6,6,1442,0.0,1958,1958
768,432.0,3.0,0,352,4,416,0.0,240,1,1946.0,1200,1,11767,70.0,0.0,0,6,5,768,0.0,1946,1995
953,711.0,3.0,0,0,2,953,0.0,460,0,2000.0,1664,1,8121,69.0,0.0,40,5,6,953,0.0,2000,2000
1360,0.0,3.0,0,384,1,0,0.0,572,1,1962.0,1360,1,7134,60.0,0.0,50,5,5,384,0.0,1955,1955
707,707.0,3.0,3,0,2,707,0.0,403,2,2004.0,1414,0,9056,74.0,0.0,35,5,8,707,0.0,2004,2004
1342,0.0,3.0,0,251,3,491,0.0,457,1,1967.0,1342,1,9790,69.0,0.0,0,5,6,1372,0.0,1967,1967
793,325.0,3.0,2,507,3,286,0.0,410,1,1939.0,1118,1,7800,65.0,0.0,0,7,5,793,0.0,1939,1950
1170,1175.0,4.0,0,503,3,449,0.0,360,1,1932.0,2345,1,16560,80.0,0.0,0,8,6,952,0.0,1932,1950
1844,0.0,3.0,0,705,4,1139,0.0,546,0,1977.0,1844,1,11751,105.0,480.0,122,6,6,1844,0.0,1977,1977
483,504.0,2.0,0,387,1,96,0.0,264,1,1971.0,987,1,1680,21.0,232.0,0,5,6,483,0.0,1971,1971
1610,0.0,3.0,2,1200,1,410,0.0,480,0,1977.0,1610,0,10603,69.0,28.0,68,7,6,1610,0.0,1977,2001
1080,0.0,3.0,0,336,1,748,158.0,484,1,1983.0,1080,1,9187,71.0,0.0,0,5,6,1084,0.0,1983,1983
1622,0.0,3.0,3,1159,4,90,0.0,1356,2,1975.0,1622,1,32463,69.0,149.0,0,4,4,1249,0.0,1961,1975
802,709.0,3.0,3,714,0,88,0.0,413,2,1997.0,1511,1,11207,70.0,0.0,75,5,6,802,0.0,1997,1997
1152,0.0,3.0,3,1014,0,138,0.0,484,0,1964.0,1152,1,14112,69.0,86.0,0,7,5,1152,0.0,1964,1964
910,648.0,4.0,0,420,4,490,0.0,282,1,1950.0,1558,1,13710,75.0,0.0,0,5,5,910,289.0,1950,1950
1065,846.0,3.0,0,380,2,397,0.0,471,0,1993.0,1911,0,9554,80.0,125.0,81,5,8,777,0.0,1993,1994
1306,0.0,2.0,2,860,4,132,0.0,756,1,1968.0,1306,1,8712,64.0,0.0,0,7,5,992,0.0,1957,2000
1075,1063.0,2.0,0,0,2,849,0.0,360,1,1910.0,2138,1,8100,90.0,0.0,156,5,5,849,0.0,1898,1965
1580,886.0,4.0,0,0,2,1580,0.0,610,0,2004.0,2466,0,11143,102.0,0.0,214,5,8,1580,0.0,2004,2005
1085,649.0,3.0,0,600,3,312,0.0,440,1,1962.0,1734,0,9786,77.0,0.0,0,7,6,912,0.0,1962,1981
950,208.0,3.0,0,0,2,862,0.0,208,0,1929.0,1158,1,6000,50.0,0.0,0,7,6,862,0.0,1929,1950
1771,0.0,3.0,4,0,2,0,0.0,336,1,1960.0,1771,1,21750,100.0,75.0,0,4,5,0,0.0,1960,2006
958,0.0,2.0,0,120,1,958,0.0,440,0,1977.0,958,1,4928,69.0,0.0,205,5,6,1078,0.0,1976,1976
1828,0.0,3.0,3,48,2,1774,0.0,774,1,2007.0,1828,0,11694,90.0,452.0,108,5,9,1822,0.0,2007,2007
1148,568.0,3.0,0,292,5,476,0.0,281,1,1949.0,1716,1,11409,60.0,0.0,0,4,5,768,0.0,1949,2008
1476,1237.0,3.0,3,1330,0,122,0.0,858,2,2008.0,2713,2,14948,67.0,268.0,66,5,9,1452,0.0,2008,2008
959,408.0,3.0,0,425,5,459,0.0,560,1,1978.0,1367,1,6240,52.0,0.0,0,6,6,884,0.0,1931,1950
916,0.0,4.0,0,299,1,611,0.0,164,1,1915.0,1826,2,2500,50.0,0.0,0,8,7,910,0.0,1915,2005
1200,0.0,3.0,0,334,1,322,0.0,521,0,1995.0,1200,0,11249,105.0,0.0,26,5,6,1200,0.0,1995,1995
854,0.0,2.0,0,360,3,360,0.0,660,1,1991.0,1382,1,12358,69.0,0.0,0,6,5,720,0.0,1941,1950
728,728.0,3.0,0,0,2,728,0.0,400,1,2005.0,1456,0,8029,51.0,0.0,24,5,6,728,100.0,2005,2005
1686,762.0,4.0,0,1361,0,88,0.0,711,0,1994.0,2448,0,46589,52.0,528.0,76,7,8,1629,0.0,1994,2005
1024,940.0,4.0,3,0,2,940,0.0,0,1,1980.0,1964,1,8525,55.0,0.0,192,6,5,940,0.0,1911,1950
1092,0.0,3.0,0,787,3,305,0.0,504,0,1964.0,1092,1,8250,75.0,260.0,0,7,6,1092,0.0,1964,1964
1113,0.0,3.0,0,607,1,506,0.0,264,1,1950.0,1113,0,9600,80.0,0.0,80,7,5,1113,0.0,1950,2007
864,0.0,3.0,0,432,1,432,0.0,0,1,1980.0,864,1,10500,70.0,0.0,0,5,4,864,0.0,1971,1971
1028,776.0,3.0,0,0,2,994,0.0,442,2,1999.0,1804,0,7500,60.0,0.0,60,5,7,994,0.0,1999,1999
1632,0.0,4.0,3,0,2,1632,0.0,576,1,1967.0,1632,1,25000,100.0,0.0,0,4,5,1632,0.0,1967,1967
1548,1066.0,4.0,0,956,1,384,0.0,624,0,1974.0,2614,1,10800,90.0,0.0,243,7,6,1522,0.0,1974,1997
1314,0.0,2.0,0,904,0,410,0.0,626,1,2008.0,1314,0,5001,34.0,166.0,62,5,7,1314,0.0,2007,2008
1061,862.0,3.0,0,674,0,76,0.0,564,0,1992.0,1923,0,10186,107.0,0.0,39,5,7,750,0.0,1992,1992
1484,0.0,3.0,3,712,0,761,0.0,606,0,2004.0,1484,0,8400,70.0,109.0,35,5,7,1473,0.0,2004,2005
708,0.0,2.0,0,280,5,140,0.0,0,1,1980.0,708,3,5330,50.0,0.0,0,7,4,420,164.0,1940,1950
1713,0.0,3.0,3,1088,0,625,0.0,856,2,2004.0,1713,2,9591,76.0,262.0,26,5,8,1713,0.0,2004,2005
1269,0.0,3.0,0,374,4,363,0.0,308,1,1964.0,1269,1,7931,70.0,0.0,0,6,5,1269,0.0,1960,1960
2097,0.0,1.0,2,1721,2,356,0.0,1134,2,2005.0,2097,2,20896,49.0,0.0,267,5,8,2077,192.0,2005,2006
864,0.0,3.0,2,360,3,504,0.0,288,0,1972.0,864,1,9560,120.0,0.0,0,7,5,864,0.0,1972,1972
1130,1054.0,3.0,3,936,0,168,0.0,836,2,2008.0,2184,2,11308,96.0,154.0,102,5,9,1104,0.0,2008,2008
1624,0.0,2.0,0,1456,0,168,0.0,757,0,1994.0,1624,0,12461,89.0,0.0,114,5,8,1624,0.0,1994,1995
1040,0.0,3.0,0,906,3,134,0.0,384,1,1965.0,1040,1,11200,70.0,0.0,0,5,5,1040,0.0,1965,1965
884,1151.0,3.0,0,0,2,884,0.0,434,2,2001.0,2035,0,9505,69.0,180.0,48,5,7,884,0.0,2001,2001
1494,0.0,3.0,3,437,5,0,0.0,481,2,1995.0,1494,2,9549,30.0,0.0,30,5,8,1494,0.0,1995,1996
1314,0.0,2.0,0,904,0,410,0.0,626,0,2008.0,1314,0,5063,34.0,166.0,62,5,7,1314,0.0,2007,2008
1041,702.0,3.0,0,384,1,143,0.0,539,1,1968.0,1743,1,11700,90.0,365.0,0,6,6,702,0.0,1968,1968
912,1215.0,4.0,2,48,4,422,0.0,833,0,1991.0,2127,0,13125,103.0,0.0,192,5,7,1104,0.0,1991,1991
936,780.0,6.0,0,210,2,570,0.0,0,1,1980.0,1716,3,5687,55.0,0.0,184,6,5,780,0.0,1912,2000
1358,0.0,3.0,2,733,2,625,0.0,484,0,2010.0,1358,0,6371,44.0,128.0,35,5,7,1358,0.0,2009,2010
774,656.0,3.0,0,0,2,384,0.0,400,0,2000.0,1430,1,9967,76.0,0.0,0,5,7,384,0.0,2000,2000
1221,0.0,2.0,0,410,0,811,0.0,400,0,2004.0,1221,0,7500,62.0,0.0,113,5,7,1221,0.0,2004,2005
912,1182.0,4.0,0,0,2,912,0.0,615,2,2003.0,2094,0,9375,75.0,0.0,182,5,7,912,0.0,2003,2004
864,0.0,3.0,0,553,3,0,0.0,360,1,1965.0,864,1,8281,60.0,0.0,0,5,5,864,0.0,1965,1965
1053,0.0,3.0,0,567,3,413,0.0,750,0,1998.0,1053,2,8973,69.0,85.0,80,7,5,1008,0.0,1958,1991
1701,0.0,3.0,1,1390,1,0,0.0,611,2,1975.0,1701,1,16647,69.0,0.0,0,5,5,1390,0.0,1975,1981
1056,0.0,3.0,0,846,3,210,0.0,308,0,1958.0,1056,1,8176,70.0,0.0,0,6,5,1056,0.0,1958,1992
1163,0.0,3.0,0,256,1,906,0.0,220,1,1955.0,1163,1,5820,49.0,0.0,98,8,3,1162,0.0,1955,2005
822,843.0,3.0,0,0,2,813,0.0,562,0,2007.0,1665,0,8125,65.0,0.0,0,6,7,813,0.0,2007,2007
684,512.0,3.0,2,0,2,684,0.0,528,1,2005.0,1196,0,12354,67.0,0.0,46,8,6,684,0.0,1920,2000
1966,1174.0,4.0,0,0,2,1926,0.0,820,2,2009.0,3140,2,13518,104.0,860.0,78,5,9,1926,0.0,2008,2009
1682,0.0,3.0,0,0,2,1304,0.0,530,1,1970.0,1682,1,10400,80.0,288.0,0,6,7,1304,0.0,1970,1970
1072,0.0,2.0,1,547,0,0,0.0,525,2,2005.0,1072,1,3675,35.0,80.0,28,5,5,547,0.0,2005,2005
764,783.0,3.0,2,24,0,732,0.0,614,1,2009.0,1547,0,8640,72.0,0.0,45,5,7,756,0.0,2009,2009
1905,0.0,3.0,0,0,2,1905,0.0,788,2,2006.0,1905,2,11670,84.0,302.0,191,5,9,1905,0.0,2006,2006
827,834.0,3.0,3,385,0,70,0.0,550,0,1996.0,1661,0,10667,43.0,0.0,61,6,7,799,0.0,1996,1996
1350,0.0,3.0,1,624,0,288,0.0,520,0,1964.0,1350,1,9020,82.0,259.0,0,5,6,1248,0.0,1964,1964
1055,790.0,3.0,0,0,2,1055,0.0,462,0,1992.0,1845,0,11218,70.0,0.0,104,5,6,1055,0.0,1992,1992
1021,580.0,3.0,0,0,2,533,0.0,300,0,1958.0,1601,1,13825,85.0,0.0,34,6,5,533,0.0,1958,1987
691,807.0,3.0,0,592,1,99,0.0,409,2,1995.0,1498,1,13031,69.0,0.0,44,5,6,691,0.0,1995,1996
991,956.0,3.0,0,222,0,769,0.0,678,0,2004.0,1947,0,12552,100.0,0.0,136,5,7,991,0.0,2004,2005
1098,0.0,3.0,0,902,1,196,0.0,260,1,1955.0,1098,1,7390,69.0,151.0,0,7,5,1098,0.0,1955,1955
1054,0.0,3.0,0,602,1,14,0.0,460,1,1969.0,1054,1,9750,65.0,0.0,0,8,6,1054,0.0,1969,1969
928,0.0,3.0,0,308,3,620,0.0,288,2,1957.0,928,1,6000,50.0,0.0,0,6,5,928,0.0,1957,1957
1133,687.0,4.0,0,329,3,697,0.0,240,1,1925.0,1820,1,9120,60.0,0.0,100,6,7,1026,0.0,1925,1950
1687,998.0,5.0,0,523,0,301,0.0,672,2,1970.0,3082,1,15863,102.0,0.0,63,3,7,824,0.0,1920,1970
1104,684.0,5.0,3,0,2,1104,0.0,304,1,1957.0,1788,1,11250,69.0,0.0,0,5,4,1104,0.0,1957,1989
1022,0.0,2.0,0,247,2,310,226.0,280,1,1956.0,1022,1,7200,60.0,0.0,30,4,5,1022,0.0,1910,2006
1274,0.0,3.0,0,925,0,349,0.0,508,1,2005.0,1274,0,8814,68.0,80.0,98,5,7,1274,0.0,2005,2007
1134,1370.0,4.0,0,0,2,1122,0.0,656,2,2005.0,2504,2,11198,77.0,245.0,39,5,9,1122,0.0,2005,2007
1476,677.0,3.0,2,904,0,536,0.0,736,2,2000.0,2153,2,11050,69.0,204.0,142,5,9,1440,0.0,2000,2000
1128,903.0,3.0,0,804,0,324,0.0,577,1,2002.0,2031,0,9473,75.0,0.0,211,5,8,1128,0.0,2002,2002
1060,764.0,3.0,0,0,2,764,0.0,520,1,1940.0,1824,1,13515,60.0,0.0,0,6,6,764,0.0,1919,1950
1008,0.0,2.0,0,486,4,522,0.0,275,1,1954.0,1008,1,11425,69.0,0.0,0,6,5,1008,0.0,1954,1954
694,0.0,3.0,0,365,5,75,0.0,352,1,1990.0,694,0,4280,40.0,0.0,0,6,5,440,0.0,1913,2002
1728,0.0,4.0,1,936,3,396,0.0,574,1,1976.0,1728,1,12640,55.0,0.0,0,5,6,1728,0.0,1976,1976
1588,0.0,3.0,3,1162,1,426,0.0,472,0,1999.0,1588,0,10264,78.0,183.0,29,5,7,1588,0.0,1999,1999
1392,0.0,3.0,0,1302,2,90,0.0,528,1,1957.0,1392,1,11341,69.0,180.0,0,6,5,1392,0.0,1957,1996
2411,2065.0,4.0,3,2096,0,300,0.0,813,2,1996.0,4476,2,15623,160.0,0.0,78,5,10,2396,0.0,1996,1996
1161,808.0,3.0,0,0,2,808,0.0,534,0,1977.0,1969,1,11952,92.0,0.0,0,6,7,808,0.0,1977,1977
1504,0.0,1.0,0,16,0,1330,0.0,457,2,2005.0,1504,0,3182,43.0,16.0,0,5,7,1346,0.0,2005,2006
1276,0.0,3.0,0,0,2,1276,0.0,350,1,1958.0,1276,1,9571,68.0,0.0,0,3,5,1276,0.0,1958,1958
1800,0.0,2.0,0,0,2,1800,0.0,702,2,2007.0,1800,2,11923,122.0,0.0,136,5,9,1800,0.0,2007,2007
816,0.0,3.0,3,816,0,0,0.0,0,1,1980.0,816,1,11841,81.0,104.0,32,5,6,816,0.0,1990,1990
1040,0.0,2.0,4,0,2,0,0.0,625,1,1950.0,1040,1,7200,60.0,0.0,0,7,5,0,0.0,1950,1950
924,0.0,3.0,0,0,2,924,0.0,280,1,1981.0,924,1,7990,88.0,0.0,0,6,5,924,0.0,1975,1975
832,0.0,2.0,0,0,2,832,0.0,528,1,1962.0,832,0,7227,59.0,0.0,0,6,6,832,0.0,1954,1954
956,930.0,3.0,0,0,2,930,0.0,431,2,1998.0,1886,0,11214,69.0,0.0,0,5,7,930,0.0,1998,1999
2196,0.0,3.0,2,485,1,1496,0.0,701,0,1990.0,2196,0,14684,90.0,234.0,70,7,7,2158,84.0,1990,1991
1039,0.0,3.0,2,841,4,198,0.0,504,1,1965.0,1039,1,11625,75.0,0.0,0,4,5,1039,0.0,1965,1965
720,551.0,3.0,0,0,2,720,0.0,312,1,1948.0,1271,1,21286,115.0,0.0,0,5,5,720,0.0,1948,1950
961,406.0,4.0,0,241,3,229,0.0,384,1,1978.0,1367,1,8405,50.0,0.0,130,8,5,861,0.0,1900,1950
1236,857.0,3.0,0,0,2,791,0.0,542,2,1986.0,2093,1,20544,46.0,123.0,63,6,7,791,0.0,1986,1991
864,0.0,3.0,3,460,4,404,0.0,338,1,1972.0,864,1,15523,36.0,0.0,0,6,5,864,0.0,1972,1972
1699,748.0,4.0,0,0,2,804,42.0,336,1,1969.0,2447,0,9638,50.0,0.0,0,7,6,804,0.0,1919,1990
1054,0.0,3.0,1,763,0,173,0.0,480,0,1963.0,1054,0,8800,80.0,156.0,0,7,6,936,0.0,1963,1963
1120,0.0,3.0,0,206,1,914,0.0,0,1,1980.0,1120,1,8402,70.0,0.0,30,5,5,1120,0.0,2007,2007
1616,0.0,3.0,3,0,2,1616,0.0,834,0,2005.0,1616,0,8688,73.0,228.0,59,5,7,1616,0.0,2005,2005
1073,0.0,3.0,0,836,1,237,0.0,515,0,1965.0,1073,1,10289,79.0,168.0,0,7,5,1073,0.0,1965,1965
1389,0.0,2.0,3,1071,1,195,0.0,418,0,1975.0,1389,1,10010,77.0,0.0,38,5,5,1389,0.0,1974,1975
861,0.0,1.0,0,262,4,599,0.0,539,1,1961.0,861,1,12342,69.0,0.0,0,5,4,861,0.0,1940,1950
575,560.0,3.0,0,350,1,0,0.0,576,0,1971.0,1135,0,7200,60.0,0.0,0,9,7,560,0.0,1936,2007
1466,1362.0,4.0,1,1150,0,316,0.0,1052,0,2006.0,2828,0,9965,77.0,340.0,144,5,8,1466,0.0,2006,2007
1616,0.0,2.0,0,1180,0,415,0.0,608,0,1995.0,1616,0,5389,39.0,0.0,152,5,8,1595,0.0,1995,1996
1437,0.0,3.0,1,1157,1,280,0.0,528,0,1976.0,1437,0,10768,90.0,0.0,21,8,5,1437,0.0,1976,2004
1630,0.0,3.0,0,0,2,1630,0.0,451,1,2000.0,1630,0,9750,75.0,171.0,234,5,7,1630,0.0,2000,2001
1800,0.0,3.0,1,1274,0,526,0.0,765,2,2002.0,1800,0,14331,85.0,630.0,78,5,8,1800,0.0,2002,2002
1094,761.0,3.0,0,0,2,528,0.0,512,0,1976.0,1855,1,9600,80.0,360.0,100,7,6,528,0.0,1976,1994
892,783.0,3.0,0,0,2,841,0.0,502,2,1999.0,1675,1,24682,69.0,0.0,103,5,6,841,0.0,1999,1999
956,1128.0,4.0,0,656,0,300,0.0,618,0,2004.0,2084,0,10142,76.0,0.0,45,5,7,956,0.0,2004,2004
